PId,Mobile,Desktop
1,iPhone,Windows
1,Android,macOS
2,iPhone,macOS
2,Android,Windows
3,iPhone,Windows
3,Android,Windows
4,iPhone,Linux
4,Android,Windows
5,iPhone,Windows
5,Android,Windows
6,iPhone,macOS
6,Android,Windows
7,iPhone,macOS
7,Android,Linux
8,iPhone,macOS
8,Android,Windows
9,iPhone,macOS
9,Android,Windows
10,iPhone,Windows
10,Android,Windows
11,iPhone,macOS
11,Android,macOS
12,iPhone,macOS
12,Android,Linux
13,iPhone,Linux
13,Android,Windows
14,iPhone,Windows
14,Android,macOS
15,iPhone,macOS
15,Android,macOS
16,iPhone,macOS
16,Android,macOS
17,iPhone,Windows
17,Android,Windows
18,iPhone,Linux
18,Android,Linux
19,iPhone,macOS
19,Android,macOS
20,iPhone,macOS
20,Android,Windows
21,iPhone,macOS
21,Android,Windows
22,iPhone,macOS
22,Android,Windows
23,iPhone,macOS
23,Android,Windows
24,iPhone,macOS
24,Android,Linux
25,iPhone,macOS
25,Android,Linux
26,iPhone,macOS
26,Android,Windows
27,iPhone,Windows
27,Android,macOS
28,iPhone,Linux
28,Android,macOS
29,iPhone,macOS
29,Android,macOS
30,iPhone,Windows
30,Android,macOS
31,iPhone,macOS
31,Android,Linux
32,iPhone,Linux
32,Android,Windows
33,iPhone,macOS
33,Android,Windows
34,iPhone,Windows
34,Android,Linux
35,iPhone,macOS
35,Android,macOS
36,iPhone,Windows
36,Android,Windows
37,iPhone,Windows
37,Android,Linux
38,iPhone,Linux
38,Android,Windows
39,iPhone,macOS
39,Android,Windows
40,iPhone,Linux
40,Android,Linux
41,iPhone,macOS
41,Android,macOS
42,iPhone,macOS
42,Android,Windows
43,iPhone,Windows
43,Android,macOS
44,iPhone,Windows
44,Android,macOS
45,iPhone,Windows
45,Android,Linux
46,iPhone,Windows
46,Android,macOS
47,iPhone,macOS
47,Android,Linux
48,iPhone,Windows
48,Android,macOS
49,iPhone,Windows
49,Android,Linux
50,iPhone,Linux
50,Android,Windows
51,iPhone,Windows
51,Android,macOS
52,iPhone,macOS
52,Android,Windows
53,iPhone,Windows
53,Android,Windows
54,iPhone,Linux
54,Android,Windows
55,iPhone,Windows
55,Android,Windows
56,iPhone,Windows
56,Android,Windows
57,iPhone,macOS
57,Android,Windows
58,iPhone,macOS
58,Android,Windows
59,iPhone,macOS
59,Android,Windows
60,iPhone,Windows
60,Android,Windows
61,iPhone,macOS
61,Android,macOS
62,iPhone,macOS
62,Android,Linux
63,iPhone,Linux
63,Android,Windows
64,iPhone,Windows
64,Android,macOS
65,iPhone,Windows
65,Android,macOS
66,iPhone,macOS
66,Android,macOS
67,iPhone,Windows
67,Android,Windows
68,iPhone,Linux
68,Android,Linux
69,iPhone,macOS
69,Android,macOS
70,iPhone,macOS
70,Android,Windows
71,iPhone,Windows
71,Android,Windows
72,iPhone,macOS
72,Android,Windows
73,iPhone,macOS
73,Android,Windows
74,iPhone,macOS
74,Android,Linux
75,iPhone,macOS
75,Android,Windows
76,iPhone,macOS
76,Android,Windows
77,iPhone,macOS
77,Android,Linux
78,iPhone,macOS
78,Android,Windows
79,iPhone,macOS
79,Android,macOS
80,iPhone,Windows
80,Android,Windows
81,iPhone,Linux
81,Android,Linux
82,iPhone,macOS
82,Android,Windows
83,iPhone,macOS
83,Android,Windows
84,iPhone,Windows
84,Android,Linux
85,iPhone,macOS
85,Android,macOS
86,iPhone,Windows
86,Android,Windows
87,iPhone,Windows
87,Android,Linux
88,iPhone,Linux
88,Android,Windows
89,iPhone,macOS
89,Android,Windows
90,iPhone,Linux
90,Android,Linux
91,iPhone,macOS
91,Android,macOS
92,iPhone,macOS
92,Android,Windows
93,iPhone,Windows
93,Android,macOS
94,iPhone,Windows
94,Android,macOS
95,iPhone,Windows
95,Android,Linux
96,iPhone,Windows
96,Android,macOS
97,iPhone,macOS
97,Android,Linux
98,iPhone,Windows
98,Android,macOS
99,iPhone,Windows
99,Android,Linux
100,iPhone,Linux
100,Android,Windows
