PId,IDE,Hours
1,Nobugs,12.65
2,Nobugs,4.88
3,Nobugs,9.02
4,Nobugs,8.49
5,Nobugs,7.71
6,Nobugs,4.67
7,Nobugs,5.37
8,Nobugs,5.01
9,Nobugs,4.28
10,Nobugs,7.8
11,Nobugs,9.9
12,Nobugs,5.45
13,Nobugs,4.97
14,Nobugs,5.8
15,Nobugs,4.25
16,Nobugs,5.36
17,Nobugs,4.15
18,Nobugs,5.59
19,Nobugs,4.63
20,Nobugs,5.55
21,Nobugs,10.65
22,Nobugs,7.31
23,Nobugs,4.49
24,Nobugs,7.23
25,Nobugs,3.15
26,Nobugs,7.63
27,Nobugs,5.78
28,Nobugs,4.77
29,Nobugs,3.16
30,Nobugs,7.29
31,VStudio,6.95
32,VStudio,9.85
33,VStudio,17.24
34,VStudio,14.71
35,VStudio,8.6
36,VStudio,6.11
37,VStudio,6.17
38,VStudio,6.96
39,VStudio,6.77
40,VStudio,8.35
41,VStudio,5.19
42,VStudio,9.35
43,VStudio,6.46
44,VStudio,15.51
45,VStudio,5.74
46,VStudio,13.36
47,VStudio,10.06
48,VStudio,27.09
49,VStudio,6.64
50,VStudio,22.75
51,VStudio,4.61
52,VStudio,9.2
53,VStudio,11.68
54,VStudio,6.07
55,VStudio,10.7
56,VStudio,12.1
57,VStudio,9.36
58,VStudio,9.22
59,VStudio,19.93
60,VStudio,3.73
