PId,Interface,Activity,Adoption
1,current,sort,maybe
1,current,search,no
1,new,sort,no
1,new,search,maybe
2,current,sort,no
2,current,search,no
2,new,sort,no
2,new,search,yes
3,current,sort,no
3,current,search,no
3,new,sort,no
3,new,search,maybe
4,current,sort,no
4,current,search,maybe
4,new,sort,no
4,new,search,maybe
5,current,sort,no
5,current,search,no
5,new,sort,maybe
5,new,search,yes
6,current,sort,no
6,current,search,maybe
6,new,sort,maybe
6,new,search,no
7,current,sort,no
7,current,search,yes
7,new,sort,yes
7,new,search,maybe
8,current,sort,yes
8,current,search,maybe
8,new,sort,yes
8,new,search,maybe
9,current,sort,no
9,current,search,no
9,new,sort,no
9,new,search,yes
10,current,sort,no
10,current,search,yes
10,new,sort,maybe
10,new,search,yes
11,current,sort,no
11,current,search,yes
11,new,sort,yes
11,new,search,yes
12,current,sort,yes
12,current,search,yes
12,new,sort,yes
12,new,search,yes
13,current,sort,no
13,current,search,yes
13,new,sort,yes
13,new,search,yes
14,current,sort,no
14,current,search,maybe
14,new,sort,yes
14,new,search,no
15,current,sort,no
15,current,search,yes
15,new,sort,maybe
15,new,search,yes
