PId,Technique,Hands,Agreement
1,pinch,1,3
2,pinch,1,4
3,pinch,1,1
4,pinch,1,2
5,pinch,1,2
6,pinch,1,2
7,pinch,1,1
8,pinch,1,3
9,pinch,1,1
10,pinch,1,1
11,pinch,1,4
12,pinch,1,1
13,pinch,1,5
14,pinch,1,5
15,pinch,1,3
16,pinch,2,4
17,pinch,2,6
18,pinch,2,7
19,pinch,2,6
20,pinch,2,5
21,pinch,2,5
22,pinch,2,7
23,pinch,2,5
24,pinch,2,5
25,pinch,2,5
26,pinch,2,6
27,pinch,2,6
28,pinch,2,6
29,pinch,2,3
30,pinch,2,7
31,press,1,6
32,press,1,5
33,press,1,3
34,press,1,5
35,press,1,7
36,press,1,2
37,press,1,2
38,press,1,4
39,press,1,3
40,press,1,3
41,press,1,5
42,press,1,5
43,press,1,7
44,press,1,7
45,press,1,3
46,press,2,6
47,press,2,7
48,press,2,7
49,press,2,4
50,press,2,7
51,press,2,4
52,press,2,7
53,press,2,4
54,press,2,5
55,press,2,6
56,press,2,6
57,press,2,5
58,press,2,5
59,press,2,5
60,press,2,6
