PId,Keyboard,Posture,WPM
1,iPhone,standing,62.68
1,iPhone,walking,35.33
2,Android,standing,48.46
2,Android,walking,39.48
3,iPhone,standing,50.67
3,iPhone,walking,35.12
4,Android,standing,49.38
4,Android,walking,50.01
5,iPhone,standing,68.61
5,iPhone,walking,33.7
6,Android,standing,58.44
6,Android,walking,31.29
7,iPhone,standing,59.94
7,iPhone,walking,53.98
8,Android,standing,48.04
8,Android,walking,41.41
9,iPhone,standing,60.33
9,iPhone,walking,37.28
10,Android,standing,42.03
10,Android,walking,30.28
11,iPhone,standing,65.55
11,iPhone,walking,46.81
12,Android,standing,52.94
12,Android,walking,26.32
13,iPhone,standing,51.73
13,iPhone,walking,31.99
14,Android,standing,49.91
14,Android,walking,36.83
15,iPhone,standing,60.43
15,iPhone,walking,39.28
16,Android,standing,52.24
16,Android,walking,35.48
17,iPhone,standing,56.31
17,iPhone,walking,31.06
18,Android,standing,41.54
18,Android,walking,42.37
19,iPhone,standing,55.94
19,iPhone,walking,42.53
20,Android,standing,56.09
20,Android,walking,42.74
21,iPhone,standing,60.77
21,iPhone,walking,34.87
22,Android,standing,41.04
22,Android,walking,46.29
23,iPhone,standing,64.58
23,iPhone,walking,43.28
24,Android,standing,55.6
24,Android,walking,32.42
