PId,Recognizer,Device,Errors
1,dollar,mouse,4
2,dollar,mouse,3
3,dollar,mouse,4
4,dollar,mouse,2
5,dollar,mouse,6
6,dollar,mouse,8
7,dollar,mouse,3
8,dollar,mouse,2
9,dollar,mouse,2
10,dollar,mouse,9
11,dollar,mouse,3
12,dollar,mouse,3
13,dollar,mouse,4
14,dollar,mouse,3
15,dollar,mouse,1
16,dollar,stylus,4
17,dollar,stylus,4
18,dollar,stylus,2
19,dollar,stylus,8
20,dollar,stylus,2
21,dollar,stylus,3
22,dollar,stylus,1
23,dollar,stylus,3
24,dollar,stylus,6
25,dollar,stylus,2
26,dollar,stylus,2
27,dollar,stylus,6
28,dollar,stylus,8
29,dollar,stylus,4
30,dollar,stylus,2
31,rubine,mouse,8
32,rubine,mouse,6
33,rubine,mouse,9
34,rubine,mouse,1
35,rubine,mouse,10
36,rubine,mouse,4
37,rubine,mouse,3
38,rubine,mouse,7
39,rubine,mouse,4
40,rubine,mouse,5
41,rubine,mouse,3
42,rubine,mouse,6
43,rubine,mouse,8
44,rubine,mouse,10
45,rubine,mouse,6
46,rubine,stylus,6
47,rubine,stylus,6
48,rubine,stylus,12
49,rubine,stylus,3
50,rubine,stylus,4
51,rubine,stylus,4
52,rubine,stylus,8
53,rubine,stylus,2
54,rubine,stylus,5
55,rubine,stylus,7
56,rubine,stylus,1
57,rubine,stylus,5
58,rubine,stylus,5
59,rubine,stylus,2
60,rubine,stylus,5
