PId,Recognizer,Device,Errors
1,dollar,stylus,0
1,dollar,mouse,0
1,rubine,stylus,8
1,rubine,mouse,0
2,dollar,stylus,8
2,dollar,mouse,0
2,rubine,stylus,0
2,rubine,mouse,14
3,dollar,stylus,8
3,dollar,mouse,0
3,rubine,stylus,2
3,rubine,mouse,6
4,dollar,stylus,7
4,dollar,mouse,4
4,rubine,stylus,5
4,rubine,mouse,8
5,dollar,stylus,0
5,dollar,mouse,0
5,rubine,stylus,9
5,rubine,mouse,5
6,dollar,stylus,0
6,dollar,mouse,5
6,rubine,stylus,10
6,rubine,mouse,6
7,dollar,stylus,1
7,dollar,mouse,0
7,rubine,stylus,8
7,rubine,mouse,8
8,dollar,stylus,4
8,dollar,mouse,6
8,rubine,stylus,0
8,rubine,mouse,0
9,dollar,stylus,3
9,dollar,mouse,0
9,rubine,stylus,6
9,rubine,mouse,14
10,dollar,stylus,3
10,dollar,mouse,3
10,rubine,stylus,0
10,rubine,mouse,0
11,dollar,stylus,0
11,dollar,mouse,0
11,rubine,stylus,5
11,rubine,mouse,0
12,dollar,stylus,2
12,dollar,mouse,5
12,rubine,stylus,4
12,rubine,mouse,10
13,dollar,stylus,11
13,dollar,mouse,2
13,rubine,stylus,1
13,rubine,mouse,0
14,dollar,stylus,3
14,dollar,mouse,0
14,rubine,stylus,6
14,rubine,mouse,8
15,dollar,stylus,7
15,dollar,mouse,1
15,rubine,stylus,5
15,rubine,mouse,5
