PId,University,IDE,App,Hours
1,Washington,Nobugs,1,9.27
1,Washington,Nobugs,2,7.35
1,Washington,Nobugs,3,4.22
1,Washington,Nobugs,4,3.66
2,Washington,Nobugs,1,6.11
2,Washington,Nobugs,2,4.61
2,Washington,Nobugs,3,5.86
2,Washington,Nobugs,4,11.62
3,Washington,Nobugs,1,7.1
3,Washington,Nobugs,2,6.2
3,Washington,Nobugs,3,7.4
3,Washington,Nobugs,4,3.39
4,Washington,Nobugs,1,9.74
4,Washington,Nobugs,2,7.05
4,Washington,Nobugs,3,9.37
4,Washington,Nobugs,4,3.15
5,Washington,Nobugs,1,6.39
5,Washington,Nobugs,2,5.9
5,Washington,Nobugs,3,10.45
5,Washington,Nobugs,4,5.66
6,Washington,Nobugs,1,6.53
6,Washington,Nobugs,2,2.45
6,Washington,Nobugs,3,7.24
6,Washington,Nobugs,4,2.66
7,Washington,Nobugs,1,3.94
7,Washington,Nobugs,2,5.65
7,Washington,Nobugs,3,5.19
7,Washington,Nobugs,4,10.99
8,Washington,Nobugs,1,10.09
8,Washington,Nobugs,2,7.51
8,Washington,Nobugs,3,6.41
8,Washington,Nobugs,4,10.66
9,Washington,Nobugs,1,4.02
9,Washington,Nobugs,2,6.53
9,Washington,Nobugs,3,6.65
9,Washington,Nobugs,4,6.47
10,Washington,Nobugs,1,3.53
10,Washington,Nobugs,2,6.71
10,Washington,Nobugs,3,8.83
10,Washington,Nobugs,4,7.95
11,Washington,VStudio,1,6.36
11,Washington,VStudio,2,7.49
11,Washington,VStudio,3,9.81
11,Washington,VStudio,4,5.68
12,Washington,VStudio,1,5.99
12,Washington,VStudio,2,5.42
12,Washington,VStudio,3,3.8
12,Washington,VStudio,4,12.92
13,Washington,VStudio,1,8.9
13,Washington,VStudio,2,12.32
13,Washington,VStudio,3,9.57
13,Washington,VStudio,4,12.29
14,Washington,VStudio,1,6.58
14,Washington,VStudio,2,9.91
14,Washington,VStudio,3,6.95
14,Washington,VStudio,4,5.69
15,Washington,VStudio,1,13.13
15,Washington,VStudio,2,3.16
15,Washington,VStudio,3,18.69
15,Washington,VStudio,4,13.21
16,Washington,VStudio,1,4.29
16,Washington,VStudio,2,8.56
16,Washington,VStudio,3,9.08
16,Washington,VStudio,4,6.54
17,Washington,VStudio,1,8.7
17,Washington,VStudio,2,6.34
17,Washington,VStudio,3,3.49
17,Washington,VStudio,4,7.94
18,Washington,VStudio,1,9.5
18,Washington,VStudio,2,10.34
18,Washington,VStudio,3,4.02
18,Washington,VStudio,4,9
19,Washington,VStudio,1,9.3
19,Washington,VStudio,2,22.03
19,Washington,VStudio,3,11.03
19,Washington,VStudio,4,4.79
20,Washington,VStudio,1,12.22
20,Washington,VStudio,2,9.05
20,Washington,VStudio,3,5.51
20,Washington,VStudio,4,4.25
1,Stanford,Nobugs,1,4.04
