PId,Interface,Activity,Adoption
1,current,sort,no
1,current,search,no
1,new,sort,no
1,new,search,yes
2,current,sort,yes
2,current,search,no
2,new,sort,yes
2,new,search,no
3,current,sort,no
3,current,search,yes
3,new,sort,yes
3,new,search,yes
4,current,sort,no
4,current,search,no
4,new,sort,yes
4,new,search,no
5,current,sort,no
5,current,search,no
5,new,sort,yes
5,new,search,yes
6,current,sort,no
6,current,search,no
6,new,sort,no
6,new,search,yes
7,current,sort,yes
7,current,search,yes
7,new,sort,no
7,new,search,yes
8,current,sort,no
8,current,search,no
8,new,sort,yes
8,new,search,yes
9,current,sort,yes
9,current,search,yes
9,new,sort,yes
9,new,search,no
10,current,sort,no
10,current,search,yes
10,new,sort,yes
10,new,search,yes
