PId,Interface,Activity,Adoption
1,current,sort,maybe
2,current,sort,no
3,current,sort,no
4,current,sort,no
5,current,sort,no
6,current,sort,no
7,current,sort,no
8,current,sort,yes
9,current,sort,no
10,current,sort,no
11,current,sort,no
12,current,sort,yes
13,current,sort,no
14,current,sort,no
15,current,sort,no
16,current,search,no
17,current,search,no
18,current,search,no
19,current,search,maybe
20,current,search,no
21,current,search,maybe
22,current,search,yes
23,current,search,maybe
24,current,search,no
25,current,search,yes
26,current,search,yes
27,current,search,yes
28,current,search,yes
29,current,search,maybe
30,current,search,yes
31,new,sort,no
32,new,sort,no
33,new,sort,no
34,new,sort,no
35,new,sort,maybe
36,new,sort,maybe
37,new,sort,yes
38,new,sort,yes
39,new,sort,no
40,new,sort,maybe
41,new,sort,yes
42,new,sort,yes
43,new,sort,yes
44,new,sort,yes
45,new,sort,maybe
46,new,search,maybe
47,new,search,yes
48,new,search,maybe
49,new,search,maybe
50,new,search,yes
51,new,search,no
52,new,search,maybe
53,new,search,maybe
54,new,search,yes
55,new,search,yes
56,new,search,yes
57,new,search,yes
58,new,search,yes
59,new,search,no
60,new,search,yes
