PId,Recognizer,Device,Errors
1,dollar,mouse,5
1,dollar,stylus,4
1,rubine,mouse,7
1,rubine,stylus,6
2,dollar,mouse,4
2,dollar,stylus,4
2,rubine,mouse,6
2,rubine,stylus,6
3,dollar,mouse,4
3,dollar,stylus,2
3,rubine,mouse,7
3,rubine,stylus,9
4,dollar,mouse,3
4,dollar,stylus,7
4,rubine,mouse,3
4,rubine,stylus,3
5,dollar,mouse,5
5,dollar,stylus,3
5,rubine,mouse,8
5,rubine,stylus,4
6,dollar,mouse,7
6,dollar,stylus,3
6,rubine,mouse,4
6,rubine,stylus,4
7,dollar,mouse,3
7,dollar,stylus,1
7,rubine,mouse,3
7,rubine,stylus,7
8,dollar,mouse,2
8,dollar,stylus,3
8,rubine,mouse,6
8,rubine,stylus,2
9,dollar,mouse,2
9,dollar,stylus,6
9,rubine,mouse,4
9,rubine,stylus,5
10,dollar,mouse,7
10,dollar,stylus,4
10,rubine,mouse,5
10,rubine,stylus,6
11,dollar,mouse,6
11,dollar,stylus,2
11,rubine,mouse,4
11,rubine,stylus,1
12,dollar,mouse,3
12,dollar,stylus,6
12,rubine,mouse,6
12,rubine,stylus,5
13,dollar,mouse,5
13,dollar,stylus,7
13,rubine,mouse,7
13,rubine,stylus,5
14,dollar,mouse,4
14,dollar,stylus,4
14,rubine,mouse,8
14,rubine,stylus,2
15,dollar,mouse,3
15,dollar,stylus,2
15,rubine,mouse,6
15,rubine,stylus,5
