PId,Recognizer,Device,Errors
1,dollar,stylus,0
2,dollar,stylus,8
3,dollar,stylus,8
4,dollar,stylus,7
5,dollar,stylus,0
6,dollar,stylus,0
7,dollar,stylus,1
8,dollar,stylus,4
9,dollar,stylus,3
10,dollar,stylus,3
11,dollar,stylus,0
12,dollar,stylus,2
13,dollar,stylus,11
14,dollar,stylus,3
15,dollar,stylus,7
16,dollar,mouse,0
17,dollar,mouse,0
18,dollar,mouse,0
19,dollar,mouse,4
20,dollar,mouse,0
21,dollar,mouse,5
22,dollar,mouse,0
23,dollar,mouse,6
24,dollar,mouse,0
25,dollar,mouse,3
26,dollar,mouse,0
27,dollar,mouse,5
28,dollar,mouse,2
29,dollar,mouse,0
30,dollar,mouse,1
31,rubine,stylus,8
32,rubine,stylus,0
33,rubine,stylus,2
34,rubine,stylus,5
35,rubine,stylus,9
36,rubine,stylus,10
37,rubine,stylus,8
38,rubine,stylus,0
39,rubine,stylus,6
40,rubine,stylus,0
41,rubine,stylus,5
42,rubine,stylus,4
43,rubine,stylus,1
44,rubine,stylus,6
45,rubine,stylus,5
46,rubine,mouse,0
47,rubine,mouse,14
48,rubine,mouse,6
49,rubine,mouse,8
50,rubine,mouse,5
51,rubine,mouse,6
52,rubine,mouse,8
53,rubine,mouse,0
54,rubine,mouse,14
55,rubine,mouse,0
56,rubine,mouse,0
57,rubine,mouse,10
58,rubine,mouse,0
59,rubine,mouse,8
60,rubine,mouse,5
