PId,Mouse,Throughput
1,Logitech,3.63
1,Microsoft,3.1
2,Logitech,3.05
2,Microsoft,3.05
3,Logitech,4.87
3,Microsoft,3.86
4,Logitech,3.43
4,Microsoft,3.61
5,Logitech,3.74
5,Microsoft,3.85
6,Logitech,4.55
6,Microsoft,3.52
7,Logitech,3.09
7,Microsoft,3.05
8,Logitech,3.46
8,Microsoft,3.8
9,Logitech,4.73
9,Microsoft,3.82
10,Logitech,3.31
10,Microsoft,3.78
11,Logitech,4.56
11,Microsoft,3.96
12,Logitech,3.21
12,Microsoft,3.91
13,Logitech,4.42
13,Microsoft,3.67
14,Logitech,3.16
14,Microsoft,3.37
15,Logitech,3.02
15,Microsoft,3.4
16,Logitech,3.91
16,Microsoft,3.39
