PId,Keyboard,Posture,WPM
1,iPhone,standing,62.68
2,Android,standing,48.46
3,iPhone,walking,35.33
4,Android,walking,39.48
5,iPhone,standing,50.67
6,Android,standing,49.38
7,iPhone,walking,35.12
8,Android,walking,50.01
9,iPhone,standing,68.61
10,Android,standing,58.44
11,iPhone,walking,33.7
12,Android,walking,31.29
13,iPhone,standing,59.94
14,Android,standing,48.04
15,iPhone,walking,53.98
16,Android,walking,41.41
17,iPhone,standing,60.33
18,Android,standing,42.03
19,iPhone,walking,37.28
20,Android,walking,30.28
21,iPhone,standing,65.55
22,Android,standing,52.94
23,iPhone,walking,46.81
24,Android,walking,26.32
25,iPhone,standing,51.73
26,Android,standing,49.91
27,iPhone,walking,31.99
28,Android,walking,36.83
29,iPhone,standing,60.43
30,Android,standing,52.24
31,iPhone,walking,39.28
32,Android,walking,35.48
33,iPhone,standing,56.31
34,Android,standing,41.54
35,iPhone,walking,31.06
36,Android,walking,42.37
37,iPhone,standing,55.94
38,Android,standing,56.09
39,iPhone,walking,42.53
40,Android,walking,42.74
41,iPhone,standing,60.77
42,Android,standing,41.04
43,iPhone,walking,34.87
44,Android,walking,46.29
45,iPhone,standing,64.58
46,Android,standing,55.6
47,iPhone,walking,43.28
48,Android,walking,32.42
